brand, product_name, shipping, price, discount, current_price, rating, rating_number
na,Wicked Audio WI-TW3850 Syver True Wireless Speaker + Earbud Combo - Black,Free Shipping,$99.99,24%,$75.99 –,na,na
JBL,JBL Clip 4 Black Portable Bluetooth Speaker,Free Shipping,0,0,$69.95 (11 Offers)–,na,na
na,Bluetooth Wireless Speaker Portable 25W Loud Stereo WaterProof,Free Shipping,0,0,$79.97 (2 Offers)–,Rating + 5,(1)
JBL,JBL Flip 4 Waterproof Portable Bluetooth Speaker Teal,Free Shipping,0,0,$89.95 (2 Offers)–,na,na
na,Morpheus 360 BT7750 Wireless Sound-Ring II Bluetooth Portable Speaker (Black),Free Shipping,0,0,$69.99 (7 Offers)–,Rating + 4,(1)
na,Wireless Bluetooth Speaker| Waterproof Speaker with 8W Louder HD Sound| 10H Playtime Portable Bluetooth Speaker with Suction Cup| Built in Mic| Support SD Card| for Shower| Pool| Beach| Outdoor,Free Shipping,0,0,$39.99 –,Rating + 5,(1)
AOMAIS,AOMAIS GO Bluetooth Speakers| Waterproof Portable Indoor/Outdoor 30W Wireless Stereo Pairing Booming Bass Speaker| 30-Hour Playtime with 8800mAh Power Bank| Durable for Home Party| Camping (Blue),Free Shipping,0,0,$59.99 (2 Offers)–,Rating + 3,(2)
JBL,JBL Xtreme 3 Black Portable Bluetooth Speaker,Free Shipping,0,0,$349.95 (4 Offers)–,na,na
Bose,Bose Home Speaker 300 Wireless Smart Speaker with the Google Assistant - LUXE SILVER,Free Shipping,0,0,$199.00 (2 Offers)–,na,na
JBL,JBL FLIP 5 Wireless Waterproof Portable Bluetooth Speaker| Black Camo,Free Shipping,0,0,$119.95 (53 Offers)–,Rating + 4,(3)
JBL,JBL Flip 4 Waterproof Portable Wireless Bluetooth Speaker Bundle - Pair (Black),Free Shipping,0,0,$179.90 –,na,na
JBL,JBL Pulse 3 Portable Bluetooth Speaker (Black),Free Shipping,0,0,$169.99 (3 Offers)–,na,na
Soundcore,Soundcore Wakey Bluetooth Speaker Powered by Anker| Alarm Clock| Stereo Sound| FM Radio| White Noise| Qi Wireless Charger with 7.5W Charging for iPhone and 10W for Samsung,Special Shipping,0,0,$89.99 –,Rating + 5,(1)
na,IPX7 Waterproof Bluetooth Shower Speaker| Portable Bluetooth Speakers with Loud HD Sound| LED Light Show| FM Radio| Suction Cup| Sturdy Hook| Wireless Speaker for Sports Home Pool Beach Hiking,Free Shipping,0,0,$22.50 –,na,na
JBL,JBL Flip 5 ECO Portable Waterproof Bluetooth Speaker Made From 90% Recycled Plastic (Ocean Blue),Free Shipping,0,0,$119.95 (2 Offers)–,na,na
JBL,JBL Flip 4 Bluetooth Speaker| Pair (Black & White),Free Shipping,0,0,$179.90 –,na,na
na,Portable Wireless Bluetooth Speaker with Built-in-Mic| Handsfree Call| AUX Line| TF Card| HD Sound and Bass for iPhone Ipad Android Smartphone and More|33 ft Wireless range support - Grey/Black,Free Shipping,0,0,$29.99 (4 Offers)–,na,na
na,Portable Wireless Speaker Small 12W Loud Stereo Rugged,Free Shipping,0,0,$59.97 –,na,na
Ion Audio,Ion Audio Wave Rider Waterproof Floating Bluetooth Speaker| Blue,Free Shipping,0,0,$40.99 (2 Offers)–,Rating + 5,(1)
Soundcore,Soundcore Trance Go Outdoor Bluetooth Speaker with BassUp Technology| Sync 100+ Speakers| 24H Playtime| Waterproof| Custom EQ| App,Free Shipping,0,0,$99.99 –,na,na
Ultimate Ears,Ultimate Ears UE BOOM 2 Waterproof Wireless Bluetooth Speaker| Yeti Edition| 984-000556,Free Shipping,0,0,$299.00 (2 Offers)–,Rating + 5,(2)
Ultimate Ears,Ultimate Ears UE BOOM 2 Waterproof Wireless Bluetooth Speaker| Brainfreeze| 984-000552,Free Shipping,0,0,$154.17 (4 Offers)–,Rating + 5,(2)
JBL,JBL Clip 3 Portable Bluetooth Waterproof Speaker (Teal),Free Shipping,0,0,$49.95 (11 Offers)–,na,na
na,COWIN IPX7 Swimmer Floating Waterproof Bluetooth Wireless Shower Portable Speaker - White/Green,Free Shipping,0,0,$39.99 –,Rating + 5,(2)
Ultimate Ears,Ultimate Ears UE BOOM 2 Waterproof Wireless Bluetooth Speaker| Phantom Edition| 984-000551,Free Shipping,0,0,$158.57 (3 Offers)–,Rating + 5,(2)
Ultimate Ears,Ultimate Ears BOOM 2 Waterproof Wireless Bluetooth Speaker| Cherrybomb| 984-000554,Free Shipping,0,0,$156.90 (3 Offers)–,Rating + 5,(2)
Ultimate Ears,Ultimate Ears UE BOOM 2 Waterproof Wireless Bluetooth Speaker| Greenmachine| 984-000555,Free Shipping,0,0,$178.19 (2 Offers)–,Rating + 5,(2)
HARMAN KARDON,Harman Kardon Esquire Mini 2 Ultra-Slim Portable Premium Bluetooth Speaker (Silver),Free Shipping,0,0,$221.94 (3 Offers)–,na,na
Jabra Consumer Products,Jabra Speak 710 Portable Speaker for Music and Calls,Free Shipping,0,0,$299.00 (2 Offers)–,Rating + 5,(1)
na,X-Mini KAI X3 Speaker| Portable Bluetooth 4.2| Rechargeable Hands-free Speakers| Compatible with iPhone/iPad/ iPod/Smartphones/ Tablets/ MP3 Player/Laptop/ Android,Free Shipping,0,0,$34.21 –,na,na
Klipsch,Klipsch Heritage Groove Matte Black High-End Bluetooth Speaker,Free Shipping,0,0,$187.44 –,na,na
na,bang & olufsen beolit 17 wireless bluetooth speaker - stone grey - bo1280373,Special Shipping,0,0,$699.99 –,Rating + 1,(1)
Sony,Sony SRSXB33 EXTRA BASS Bluetooth Wireless Portable Speaker (Black),Free Shipping,0,0,$149.99 (12 Offers)–,na,na
